"External ID","Name","Attribute Values","Customer Taxes","Internal Reference","Sale Price","Vendor Taxes","Customer Taxes/Amount","Customer Taxes/Display Name","Customer Taxes/ID","Customer Taxes/Tax Name","# Product Variants"
"__export__.product_product_5933_26091877","CN BI Chilli Pickle Sauce24*500ml CASE","","__export__.account_tax_4_2705eab1","","45.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5934_310f9617","CN BI Pickle Sauce24*500ml CASE","","__export__.account_tax_4_2705eab1","","45.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5939_e5d4952b","CN BJ Sichuan Hot Pot Vermicelli 20*188g CASE","","__export__.account_tax_4_2705eab1","","34.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5919_db325f74","CN Bestore Millet Crisps Five Spicy 20*90g CASE","","l10n_generic_coa.1_sale_tax_template","","0.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_5925_37d1846b","CN Bestore Roasted Pecan 30*190g CASE","","__export__.account_tax_4_2705eab1","","90.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5931_8a5ff74b","CN Bestore Wakame Seaweed Hot&Spicy 30*160g Case","","__export__.account_tax_4_2705eab1","","54.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5942_56e8fd3b","CN CBL Bean Paste 50*180g CASE","","__export__.account_tax_4_2705eab1","","26.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5947_d28a913d","CN CBL Sweet Bean Paste 30*400g CASE","","__export__.account_tax_4_2705eab1","","34.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_18267_2dc15942","CN Coconut Drink Tin 24*245ml CASE","","l10n_generic_coa.1_sale_tax_template","","30.5","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_22101_fa5f5b72","CN DFSY Oolong Tea 15*500ml CASE","","l10n_generic_coa.1_sale_tax_template","","21.5","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
